Urban Area Name,Country,lon,lat
Pearl River Delta urban area,China,113.6216667,22.7694444
Tokyo urban area,Japan,139.6917064,35.6894875
Shanghai urban area,China,121.473701,31.230416
Jakarta urban area,Indonesia,106.822745,-6.1744651
Beijing urban area,China,116.407395,39.904211
Manila urban area,Philippines,120.9842195,14.5995124
Seoul urban area,Republic of Korea,126.9779692,37.566535
Osaka urban area,Japan,135.5021651,34.6937378
Bangkok urban area,Thailand,100.5017651,13.7563309
Tianjin urban area,China,117.200983,39.084158
Shantou urban area,China,116.681972,23.354091
Chengdu urban area,China,104.066801,30.572816
Ho Chi Minh City urban area,Vietnam,106.6296638,10.8230989
Nagoya urban area,Japan,136.906398,35.1814464
Wuhan urban area,China,114.305393,30.593099
Hong Kong SAR urban area,China,114.109497,22.396428
Bandung urban area,Indonesia,107.6191228,-6.9174639
Shenyang urban area,China,123.431472,41.805699
Taipei City urban area,"Taiwan, China",121.5654177,25.0329694
Hangzhou urban area,China,120.15507,30.274085
Surabaya urban area,Indonesia,112.7520883,-7.2574719
Kuala Lumpur urban area,Malaysia,101.686855,3.139003
Xi'an urban area,China,108.93977,34.341575
Ha Noi urban area,Vietnam,105.8341598,21.0277644
Chongqing urban area,China,106.551556,29.56301
Quanzhou urban area,China,118.675676,24.874132
Nanjing urban area,China,118.796877,32.060255
Xiamen urban area,China,118.089425,24.479834
Taiyuan urban area,China,112.548879,37.87059
Qingdao urban area,China,120.382609,36.067108
Medan urban area,Indonesia,98.6722227,3.5951956
Harbin urban area,China,126.534967,45.803775
Zhengzhou urban area,China,113.625328,34.746611
Changsha urban area,China,112.938814,28.228209
Hefei urban area,China,117.227219,31.820592
Anshan urban area,China,122.994329,41.108647
Dalian urban area,China,121.614682,38.914003
Changchun urban area,China,125.323544,43.817072
Yangon City urban area,Myanmar,96.195132,16.8660694
Singapore urban area,Singapore,103.819836,1.352083
Shijiazhuang urban area,China,114.51486,38.042307
Fuzhou urban area,China,119.296494,26.074508
Kunming urban area,China,102.832892,24.880095
Busan urban area,Republic of Korea,129.0756416,35.1795543
Jinan urban area,China,117.12,36.651216
Wenzhou urban area,China,120.699362,27.993828
Semarang urban area,Indonesia,110.4381254,-7.0051453
Wuxi urban area,China,120.31191,31.49117
Ningbo urban area,China,121.54399,29.868336
Kaohsiung urban area,"Taiwan, China",120.3355193,22.6350591
Changzhou urban area,China,119.974062,31.811226
Nanchang urban area,China,115.858198,28.682892
Urumqi urban area,China,87.616848,43.825592
Zibo urban area,China,118.054927,36.813487
Taizhou urban area,China,121.42076,28.65638
Malang urban area,Indonesia,112.6326321,-7.9666204
Lanzhou urban area,China,103.834304,36.061089
Xinxiang urban area,China,113.927016,35.303136
Surakarta urban area,Indonesia,110.8243272,-7.5754887
Tegal urban area,Indonesia,109.1255917,-6.8797041
Guiyang urban area,China,106.630154,26.647661
Tangshan urban area,China,118.180194,39.630867
Fukuoka urban area,Japan,130.4017155,33.5903547
Xuzhou urban area,China,117.284124,34.205768
Baotou urban area,China,109.840349,40.657378
Taegu urban area,Republic of Korea,128.601445,35.8714354
Luoyang urban area,China,112.45404,34.619683
Baoding urban area,China,115.46459,38.874434
Huhehaote urban area,China,111.749181,40.842585
Taichung urban area,"Taiwan, China",120.6736482,24.1477358
Nanning urban area,China,108.366543,22.817002
Yogyakarta urban area,Indonesia,110.3694896,-7.7955798
Cixi urban area,China,121.266579,30.169665
Sapporo urban area,Japan,141.3543763,43.0620958
George Town urban area,Malaysia,100.3091,5.4356367
Datong urban area,China,113.300129,40.076763
Cirebon urban area,Indonesia,108.5523164,-6.7320229
Linyi urban area,China,118.356414,35.104674
Palembang urban area,Indonesia,104.7754307,-2.9760735
Tasikmalaya urban area,Indonesia,108.2171633,-7.3505808
Makassar urban area,Indonesia,119.4327314,-5.1476651
Handan urban area,China,114.538962,36.625657
Huaiyin urban area,China,119.015288,33.61036
