"Urban Area Name","Country","Urban landa c 2000 (sq. km.)","Urban landa c 2010 (sq. km.)","Increase in urban land 2000 - 2010 (sq. km.)","Average annual rate of increase in urban land 2000 - 2010 (%)","Urban populationc c 2000 (persons)","Urban populationc c 2010 (persons)","Change in urban population 2000 - 2010 (persons)","Average annual rate of change of urban population (%)","Average urban population density c2000 (persons/ sq. km.)","Average urban population density c2010 (persons/ sq. km.)","Urban expansion per additional urban inhabitant (sq. m./ person)","Administrative boundary arrangementd","lon","lat"
"Pearl River Delta urban area","China",4477.5625,6969,2491.4375,4.52324416589081,26835836,41757816,14921980,4.52068918859908,5993.40288382351,5991.93801119242,166.964270157178,"Fragmented",113.6216667,22.7694444
"Tokyo urban area","Japan",5434,5569.6875,135.6875,0.246938765081134,27695526,31788261,4092735,1.38780368342623,5096.71071034229,5707.3688604612,33.153258151334,"Fragmented",139.6917064,35.6894875
"Shanghai urban area","China",1605.1875,3482,1876.8125,8.05137547995283,14020969,24196318,10175349,5.60807475101161,8734.78581162637,6948.97128087306,184.446990466863,"Fragmented",121.473701,31.230416
"Jakarta urban area","Indonesia",1338.25,1600.1875,261.9375,1.80365304003401,16291976,23431674,7139698,3.70100265616296,12174.0900429666,14643.0802640316,36.6874761369458,"Fragmented",106.822745,-6.1744651
"Beijing urban area","China",1826.875,2716.0625,889.1875,4.04544994944295,10754014,16707094,5953080,4.50402839848975,5886.56257269928,6151.21853786502,149.365958461838,"Fragmented",116.407395,39.904211
"Manila urban area","Philippines",1024.0625,1275,250.9375,2.21588005685403,12202314,16521948,4319634,3.07703211152806,11915.5949954226,12958.3905882353,58.0923059685149,"Fragmented",120.9842195,14.5995124
"Seoul urban area","South Korea",1067.25,1191.5625,124.3125,1.1078944391524,14277211,15898238,1621027,1.08124016260869,13377.5694542047,13342.34503016,76.6874950263012,"Fragmented",126.9779692,37.566535
"Osaka urban area","Japan",2047.1875,2072.5625,25.375,0.123264552817472,10637811,12273967,1636156,1.4409407455335,5196.30517478248,5922.12152830132,15.5089123531008,"Fragmented",135.5021651,34.6937378
"Bangkok urban area","Thailand",1909.8125,2125.9375,216.125,1.07784546776544,7825880,9555372,1729492,2.01674004579939,4097.72163497726,4494.66270762899,124.964440425281,"Fragmented",100.5017651,13.7563309
"Tianjin urban area","China",1126.75,1654.8125,528.0625,3.91832132135118,6266363,8788168,2521805,3.43994480458943,5561.4493010872,5310.67296143823,209.398625191083,"Fragmented",117.200983,39.084158
